template_id,name,earliest_start_date
dc3062c7-3d1b-4bd0-903d-335359d77e15,OB3.19,2025-08-01
f94b792c-0d9c-4f16-bedf-4c62885a8d42,OB3.20,2025-08-15
cb125e6f-efd2-4191-81b3-d44d9826ee03,OB3.21,2025-08-29
49acb5d0-bb81-41f6-941e-777a54194de9,OB3.22,2025-09-12
a5aa8bbe-a65f-43c7-bd9f-4bbed6371ea3,OB3.23,2024-09-26
4f24ed51-812c-49a5-aedc-0b1bf6717cf8,OB3.24,2025-10-10
953dbf53-1a7f-4a37-9630-9b110e724b2b,OB3.25,2025-10-17
c036b623-82f7-48c0-937d-03ee4ee0c4f8,OB3.26,2025-10-24
b464ff84-34a4-4d4c-8787-9f5f8b342a42,OB3.27,2025-10-31
76c5b045-8203-4201-92c7-9199a7ed5b91,OB3.28,2025-11-07
644ab176-91b0-4a5e-b552-803f5674b74f,OB3.29,2025-11-14
d4f45fa6-fa23-4a23-a025-49547ebd8f30,OB3.30,2025-11-21
fc7fd2f7-9107-4d38-a787-18971723b96c,OB3.31,2025-12-05
bfc7ae29-15a1-4ff0-9541-a6826e855907,OB3.32,2025-12-12
3e2d40fc-ff23-4726-b2b9-a8cc8e83fb06,OB3.33,2025-12-19
2a771435-143c-444e-a67b-8364a353b998,OB3.34,2026-01-09
feaeec43-c79f-40dd-829f-157ec908b385,OB3.35,2026-01-23
e16d7bd3-e0bd-4a7a-a624-debedea70d6a,OB3.36,2026-01-30
660ae92a-1893-461f-b09b-259e5c89e898,OB3.37,2026-02-06
a24702df-aca3-47e4-a2ac-2811509b3b85,OB3.38,2026-02-13
894a6748-9538-490e-8165-f3f53ce288aa,OB3.39,2026-02-20
bac29f99-a875-4114-9621-cf63f14593e7,OB3.40,2026-02-27
2fabc8d3-d3bc-47f0-9c09-c06abdd9e8c5,OB3.41,2026-03-06
419e7e25-26f8-4fa9-8e71-412b82a738c4,OB3.42,2026-03-13
3cdffccb-d99f-4eed-a146-474e2ebdd829,OB3.43,2026-03-20
203436d3-443f-4d92-8e29-17824fe7b717,OB3.44,2026-03-27
2232de35-e95d-461f-a7f9-ea2cd1ad45f1,OB3.45,2026-04-03
1a2fec99-1709-4b3d-a7ff-a517115fe69e,OB3.46,2026-04-10
41f9b591-e029-496b-bd40-a2faca6a601a,OB3.47,2026-04-17
03684adb-6adb-4595-8f5c-3eb59b971459,OB3.48,2026-04-24
0cee0a7f-43d2-4de2-8d66-c246effb48f1,OB3.49,2026-05-01
c08e7afd-74b0-4ee2-9910-098b5087a49b,OB3.50,2026-05-08
6e4de6c9-9cfb-4ef4-b8c2-3dd9f1ece3e9,OB3.51,2026-05-15
7a77447f-88c7-45c4-9235-d43f5f7d4d17,OB3.52,2026-05-22
