name,cell_id
HAAS,71eaf0da-5564-4e44-b715-c3468c54e03d
OKMA,71eaf0da-5564-4e44-b715-c3468c54e03d
ULTRA,de20da6e-ff97-4c79-b79f-a154f1b73271
BENCH,e1c1aab5-05ec-4fbc-a6da-5c9352757641
OVEN,bdae843e-b535-4c0c-9264-f34f61dca49d
LEAK,bdae843e-b535-4c0c-9264-f34f61dca49d
VKX,e1c1aab5-05ec-4fbc-a6da-5c9352757641
POGO,e1c1aab5-05ec-4fbc-a6da-5c9352757641
VCURE,e1c1aab5-05ec-4fbc-a6da-5c9352757641
BPREP,de20da6e-ff97-4c79-b79f-a154f1b73271
LFS 1,91ba4bf0-6a0f-4d49-af2e-db966832374f
LFS 2,7cc7000e-c432-4f64-ba05-2175dca04643
SPOT 1,91ba4bf0-6a0f-4d49-af2e-db966832374f
SPOT 2,7cc7000e-c432-4f64-ba05-2175dca04643
FHTST 1,ff3c07db-9f4b-4986-8e4a-438701ab4cca
FHTST 2,74bcbc71-8611-48de-b421-17b4d8f4ce32
CONE,f4152f42-0184-495e-8551-113fe5634e32
ULTRA,65b200fa-67f7-4b16-ba41-aa96bf038b77
LENAS,d846700c-57d8-4161-a91e-0c8394133f21
OVEN,d846700c-57d8-4161-a91e-0c8394133f21
OPTO 1,63f736fd-6608-480d-b2a1-6a4ecdc26118
OPTO 1,7ebfbe72-70de-4613-ae06-c9e1cfbc0a4e
BENCH,68766f04-9494-4fe1-a774-18ae0cc6df40
LEAK,9f440a74-385e-49bf-ba6f-f7a7d370aa42
CBLAS,68766f04-9494-4fe1-a774-18ae0cc6df40
TUBE,9f55118c-0078-4a78-a236-b469bd1b64bb
BAT,1b9801f0-b5ed-4751-84d5-6d6b69ed65ba
CRT,b8866cc9-5909-4eb8-8f1e-ddec1d1c1e61
