resource_code,resource_uuid
r1,2b42660b-ea18-4030-a9a9-428f5ca94bda
r2,3b22aafb-0650-4c24-9b5d-7fd9ca64694d
r3,ca46f889-d475-46a2-9c52-ed17af1f085e
r4,60b371d6-8424-4665-8794-8d3a6b720b06
r5,fb56025f-d08e-4a2f-a362-14d2ab4235ad
r6,8f2b575e-8218-4979-a714-1ab70ff0bb75
r7,3e92b258-c737-4058-a040-d73cc7220ea8
r8,09a8701d-0818-47ec-ac1c-7eb1be752c51
r9,4428720d-5f19-4499-8fb2-1844efc486cf
r10,13361475-3e19-4d1d-bf32-aca0ad08aaf1
r11,863f024f-4729-454b-ae63-f1bf5766b93b
r12,6a75dd36-7402-47b3-96ef-53ea4ee9be63
r13,035956a9-6f31-4363-9c4e-ef2ccb124f2f
r14,e3bebc91-fdee-4b8f-941e-692c7eea6e99
r15,34dceb53-cb55-4b45-a90d-61f647990366
r16,e4004633-2af6-4130-a129-fbea862a2f94
r17,362f4add-c64f-4d31-9efd-62536036c124
r18,f1dde121-6a91-47f9-a77f-f7c4b79f880e
r19,c4e1ed53-ad0e-41e0-b0ec-c0c5303b993e
r20,c8875f29-c157-481a-b3bc-75db757b2449
r21,254ec66e-0692-4c3d-947d-3593444628ee
r22,25234f50-fd0a-4aca-9a55-97915f33d157
r23,d08215a0-3b77-41e5-9b81-189bbf217f51
r24,a4830c43-4be7-4dc2-91a8-75200790897b
r25,8f9d53b6-29f0-4676-acc9-29a9f345dbed
r26,778207ed-f88f-4509-9e61-0337cfe400b1
r27,1d59c3e1-ceda-400d-ad35-4657e15a934e
r28,a13a20b3-b776-4f56-922b-8f3f16dc28d4
r29,de7f5da1-c947-46d8-9844-9682d3c45e39
r30,de69938a-7dee-4ad7-b0a6-c7c673bcae4e
r31,022432fc-811a-43bb-9a00-967592f60cc7
r32,1c67dab7-9670-4562-ad14-fbd6347c7ea8
r33,5c50ef56-ed97-49f9-af09-a46362c32157
r34,996c7534-a18d-4ba5-9e99-82e20a7c0ed2
r35,77c60895-bd9c-4a88-b18d-0b37bb9a679a
